,names,scores,logfoldchanges,pvals,pvals_adj,log_pval
739,Htr4,-0.035171743,0.053208906,0.9719427934208202,0.9949125519138148,0.012359296012820533
740,Lncenc1,-0.039358452,0.06836468,0.9686046057694903,0.9949125519138148,0.013853470189831643
741,Gpr101,-0.042184193,0.007940071,0.9663518627609244,0.9949125519138148,0.0148647118541401
742,Hpse2,-0.04222718,-0.063913904,0.966317595162149,0.9949125519138148,0.014880112551860863
743,Glp2r,-0.051007748,0.0005285038,0.9593193469586355,0.9949125519138148,0.01803679685948492
744,4930467D21Rik,-0.052220285,-0.009735272,0.9583531686192777,0.9949125519138148,0.018474416894619893
745,Adam33,-0.052719902,-0.075916454,0.9579550820828275,0.9949125519138148,0.01865485424182002
746,Myo3b,-0.060510162,0.016314605,0.95174932354804,0.9949125519138148,0.021477423186521797
747,Chat,-0.07357882,-0.05751164,0.9413455264434387,0.9949125519138148,0.026250936950936738
748,Aqp6,-0.07427795,-0.10958996,0.9407892187428882,0.9949125519138148,0.026507668167703193
749,Tnfrsf11b,-0.08032443,0.012326222,0.9359792301668945,0.9949125519138148,0.02873378836017317
750,Spag16,-0.082013875,-0.02720659,0.9346356822141966,0.9949125519138148,0.0293576426430643
751,Nox4,-0.08226773,-0.01867151,0.9344338112617033,0.9949125519138148,0.029451455571231282
752,Nkx6-1,-0.08519243,-0.15740168,0.9321084104420132,0.9949125519138148,0.030533573355608946
753,Zic4,-0.085523345,0.011069305,0.9318453396419326,0.9949125519138148,0.030656162446221658
754,Map3k20,-0.08558012,0.0501113,0.9318002056932877,0.9949125519138148,0.030677198018029705
755,Col18a1,-0.08576098,-0.090645395,0.9316564232911104,0.9949125519138148,0.03074421745171337
756,Tll1,-0.09390487,-0.041547276,0.9251847286006185,0.9949125519138148,0.03377154444791554
757,Lmx1a,-0.103657894,-0.03642146,0.917440839550001,0.9949125519138148,0.03742193131059997
758,Adgrg6,-0.10374793,-0.049478985,0.9173693928250641,0.9949125519138148,0.03745575379301076
759,Esr1,-0.104649015,-0.058839686,0.9166543187722921,0.9949125519138148,0.037794411062318414
760,Gzmk,-0.10591752,-0.152474,0.9156477942751491,0.9949125519138148,0.03827154643848318
761,4930438E09Rik,-0.10656393,-0.33086514,0.915134930570135,0.9949125519138148,0.038514867374233486
